Calendar_Page,Kalender
Calendar_StartColumn,Start
Calendar_EndColumn,Slut
Calendar_NameColumn,Navn
Calendar_DescriptionColumn,Beskrivelse
Calendar_LocationColumn,Adresse
Calendar_MonthButton,Måned
Calendar_HalfYearButton,Halvår
Calendar_YearButton,År
Calendar_AllButton,Alle
Calendar_SaveButton,Gem
Calendar_OpenButton,Åben
Calendar_SyncButton,Synkronisér
Calendar_ExportButton,Eksport PDF
Calendar_RemoveButton,Slet
Calendar_AddButton,Tilføj
Calendar_Spring,Forår
Calendar_Fall,Efterår
Calendar_January,Januar
Calendar_February,Februar
Calendar_March,Marts
Calendar_April,April
Calendar_May,Maj
Calendar_June,Juni
Calendar_July,Juli
Calendar_August,August
Calendar_September,September
Calendar_October,Oktober
Calendar_November,November
Calendar_December,December
SFTP_Page,SFTP
SFTP_HostLabel,Host
SFTP_UsernameLabel,Brugernavn
SFTP_PasswordLabel,Adgangskode
SFTP_RemoteDirectoryLabel,Fjern mappe
SFTP_LocalDirectoryLabel,Lokal mappe
SFTP_BrowseButton,Gennemse
SFTP_ShowDirectoryButton,Vis mappe
SFTP_DownloadButton,Download all files
SFTP_SyncButton,Synkronisér
SFTP_NameColumn,Filnavn
SFTP_SizeColumn,Filstørrelse
Members_Page,Medlemmer
Members_NameColumn,Navn
Members_AddressColumn,Adresse
Members_BirthdayColumn,Fødselsdag
Members_SinceColumn,Medlem siden
Members_RemoveButton,Fjern
Members_AddButton,Tilføj
ConsentForms_Page,Samtykkeerklæringer
ConsentForms_AddButton,Tilføj
ConsentForms_RemoveButton,Slet
ConsentForms_NameColumn,Navn
ConsentForms_DateColumn,Underskrevet
ConsentForms_VersionColumn,Version
ConsentForms_CommentColumn,Kommentar
Accounting_Page,Regnskab
Accounting_DateColumn,Dato
Accounting_AppendixColumn,Bilag
Accounting_DescriptionColumn,Beskrivelse
Accounting_AccountNumberColumn,Konto nr.
Accounting_InColumn,Ind
Accounting_OutColumn,Ud
Accounting_BalanceColumn,Saldo
Settings_Page,Indstillinger
Settings_NameLabel,Navn
Settings_AddressLabel,Adresse
Settings_LogoLabel,Logo
Settings_BrowseButton,Gennemse
Settings_InfoBox,Foreningens information
Help_Page,Hjælp
Help_AuthorLabel,Forfatter
Help_VersionLabel,Timotheus
Help_LicenseLabel,Licens
Help_EmailLabel,Email:
Help_SourceLabel,Kilde:
AddEvent,Tilføj
AddEvent_NameLabel,Navn
AddEvent_StartLabel,Start
AddEvent_EndLabel,Slut
AddEvent_LocationLabel,Adresse
AddEvent_DescriptionLabel,Beskriv.
AddEvent_AllDayBox,Heldagsbegivenhed
AddEvent_AddButton,Tilføj
AddEvent_CancelButton,Annullér
AddMember_NameLabel,Navn
AddMember_AddressLabel,Adresse
AddMember_BirthdayLabel,Fødselsdag
AddMember_MemberSince,Medlem siden
AddMember_AddButton,Tilføj
AddMember_CancelButton,Annullér
OpenCalendar,Åben
OpenCalendar_OpenButton,Åben
OpenCalendar_CancelButton,Annullér
OpenCalendar_ICSButton,.ics
OpenCalendar_CalDAVButton,CalDAV
OpenCalendar_BrowseButton,Gennemse
OpenCalendar_UsernameLabel,Brugernavn
OpenCalendar_PasswordLabel,Adgangskode
SyncCalendar,Synkronisér
SyncCalendar_SyncButton,Synkronisér
SyncCalendar_CancelButton,Annullér
SyncCalendar_UseExistingButton,Nuværende kalender
SyncCalendar_NewCalendarButton,En anden kalender
SyncCalendar_PasswordLabel,Adgangskode
SyncCalendar_UsernameLabel,Brugernavn
SyncCalendar_CalDAVLabel,CalDAV
SyncCalendar_PeriodCalendarButton,Synkronisér denne periode
SyncCalendar_EntireCalendarButton,Synkronisér hele kalenderen
SyncCalendar_CustomCalendarButton,Synkronisér brugerdefineret periode
AddConsentForm,Tilføj
AddConsentForm_AddButton,Tilføj
AddConsentForm_CancelButton,Annullér
