Calendar_Page,Calendar
Calendar_StartColumn,Start
Calendar_EndColumn,End
Calendar_NameColumn,Name
Calendar_DescriptionColumn,Description
Calendar_LocationColumn,Location
Calendar_MonthButton,Month
Calendar_HalfYearButton,Half-year
Calendar_YearButton,Year
Calendar_AllButton,All
Calendar_SaveButton,Save
Calendar_OpenButton,Open
Calendar_SyncButton,Sync calendar
Calendar_ExportButton,Export PDF
Calendar_RemoveButton,Remove
Calendar_AddButton,Add
Calendar_Spring,Spring
Calendar_Fall,Fall
Calendar_January,January
Calendar_February,February
Calendar_March,March
Calendar_April,April
Calendar_May,May
Calendar_June,June
Calendar_July,July
Calendar_August,August
Calendar_September,September
Calendar_October,October
Calendar_November,November
Calendar_December,December
SFTP_Page,SFTP
SFTP_HostLabel,Host
SFTP_UsernameLabel,Username
SFTP_PasswordLabel,Password
SFTP_RemoteDirectoryLabel,Remote directory
SFTP_LocalDirectoryLabel,Local directory
SFTP_BrowseButton,Browse
SFTP_ShowDirectoryButton,Show directory
SFTP_DownloadButton,Download all files
SFTP_SyncButton,Synchronise
SFTP_NameColumn,File name
SFTP_SizeColumn,File size
ConsentForms_Page,Consent forms
ConsentForms_AddButton,Add
ConsentForms_RemoveButton,Remove
ConsentForms_NameColumn,Name
ConsentForms_DateColumn,Signed
ConsentForms_VersionColumn,Version
ConsentForms_CommentColumn,Comment
Settings_Page,Settings
Settings_NameLabel,Name
Settings_AddressLabel,Address
Settings_LogoLabel,Logo
Settings_BrowseButton,Browse
Settings_InfoBox,Association information
Help_Page,Help
Help_AuthorLabel,Author
Help_VersionLabel,Timotheus
Help_LicenseLabel,License
Help_EmailLabel,Email:
Help_SourceLabel,Source:
AddEvent,Add
Add_NameLabel,Name
Add_StartLabel,Start
Add_EndLabel,End
Add_LocationLabel,Location
Add_DescriptionLabel,Descript.
Add_AllDayBox,All day event
Add_AddButton,Add
Add_CancelButton,Cancel
OpenCalendar,Open
Open_OpenButton,Open
Open_CancelButton,Cancel
Open_ICSButton,.ics
Open_CalDAVButton,CalDAV
Open_BrowseButton,Browse
Open_UsernameLabel,Username
Open_PasswordLabel,Password
SyncCalendar,Synchronise
Sync_SyncButton,Sync
Sync_CancelButton,Cancel
Sync_UseExistingButton,Current calendar
Sync_NewCalendarButton,Another calendar
Sync_PasswordLabel,Password
Sync_UsernameLabel,Username
Sync_CalDAVLabel,CalDAV
Sync_PeriodCalendarButton,Sync the period
Sync_EntireCalendarButton,Sync the entire calendar
Sync_CustomCalendarButton,Sync custom period
