Calendar_Page,Calendar
Calendar_StartColumn,Start
Calendar_EndColumn,End
Calendar_NameColumn,Name
Calendar_DescriptionColumn,Description
Calendar_LocationColumn,Location
Calendar_MonthButton,Month
Calendar_HalfYearButton,Half-year
Calendar_YearButton,Year
Calendar_AllButton,All
Calendar_SaveButton,Save
Calendar_OpenButton,Open
Calendar_SyncButton,Sync calendar
Calendar_ExportButton,Export PDF
Calendar_RemoveButton,Remove
Calendar_AddButton,Add
Calendar_Spring,Spring
Calendar_Fall,Fall
Calendar_All,All
SFTP_Page,SFTP
SFTP_HostLabel,Host
SFTP_UsernameLabel,Username
SFTP_PasswordLabel,Password
SFTP_RemoteDirectoryLabel,Remote directory
SFTP_LocalDirectoryLabel,Local directory
SFTP_BrowseButton,Browse
SFTP_ShowDirectoryButton,Show directory
SFTP_DownloadButton,Download all files
SFTP_SyncButton,Synchronise
SFTP_NameColumn,File name
SFTP_SizeColumn,File size
Members_Page,Members
Members_NameColumn,Name
Members_AddressColumn,Address
Members_BirthdayColumn,Birthday
Members_EntryColumn,Entry
Members_RemoveButton,Remove
Members_AddButton,Add
Members_Under25Label,Members under 25:
ConsentForms_Page,Consent forms
ConsentForms_AddButton,Add
ConsentForms_RemoveButton,Remove
ConsentForms_NameColumn,Name
ConsentForms_DateColumn,Signed
ConsentForms_VersionColumn,Version
ConsentForms_CommentColumn,Comment
Accounting_Page,Accounting
Accounting_DateColumn,Date
Accounting_AppendixColumn,Appendix
Accounting_DescriptionColumn,Description
Accounting_AccountNumberColumn,a/c
Accounting_InColumn,In
Accounting_OutColumn,Out
Accounting_BalanceColumn,Balance
AddTransaction,Add
AddTransaction_AddButton,Add
AddTransaction_CancelButton,Cancel
AddTransaction_AccountLabel,a/c
AddTransaction_AppendixLabel,Appendix
AddTransaction_Currency,$
AddTransaction_DateLabel,Date
AddTransaction_InLabel,Income
AddTransaction_OutLabel,Expense
Settings_Page,Settings
Settings_NameLabel,Name
Settings_AddressLabel,Address
Settings_LogoLabel,Logo
Settings_BrowseButton,Browse
Settings_InfoBox,Association information
Help_Page,Help
Help_AuthorLabel,Author
Help_VersionLabel,Timotheus
Help_LicenseLabel,License
Help_EmailLabel,Email:
Help_SourceLabel,Source:
AddEvent,Add
AddEvent_NameLabel,Name
AddEvent_StartLabel,Start
AddEvent_EndLabel,End
AddEvent_LocationLabel,Location
AddEvent_DescriptionLabel,Descript.
AddEvent_AllDayBox,All day event
AddEvent_AddButton,Add
AddEvent_CancelButton,Cancel
AddMember_NameLabel,Name
AddMember_AddressLabel,Address
AddMember_BirthdayLabel,Birthday
AddMember_EntryLabel,Entry
AddMember_AddButton,Add
AddMember_CancelButton,Cancel
AddMember_NewPersonButton,New
AddMember_AddExistingButton,From list
OpenCalendar,Open
OpenCalendar_OpenButton,Open
OpenCalendar_CancelButton,Cancel
OpenCalendar_ICSButton,.ics
OpenCalendar_CalDAVButton,CalDAV
OpenCalendar_BrowseButton,Browse
OpenCalendar_UsernameLabel,Username
OpenCalendar_PasswordLabel,Password
SyncCalendar,Synchronise
SyncCalendar_SyncButton,Sync
SyncCalendar_CancelButton,Cancel
SyncCalendar_UseExistingButton,Current calendar
SyncCalendar_NewCalendarButton,Another calendar
SyncCalendar_PasswordLabel,Password
SyncCalendar_UsernameLabel,Username
SyncCalendar_CalDAVLabel,CalDAV
SyncCalendar_PeriodCalendarButton,Sync the period
SyncCalendar_EntireCalendarButton,Sync the entire calendar
SyncCalendar_CustomCalendarButton,Sync custom period
AddConsentForm,Add
AddConsentForm_AddButton,Add
AddConsentForm_CancelButton,Cancel
AddConsentForm_NameLabel,Name
AddConsentForm_SignedLabel,Signed
AddConsentForm_VersionLabel,Version
AddConsentForm_CommentLabel,Comment
PDF_Welcome,Welcome to
PDF_Schedule,Schedule for
PDF_Date,Date
PDF_Start,Start
PDF_Activity,Activity
PDF_Leader,Leader
PDF_Musician,Musician
PDF_Coffee,Coffee
Exception_Name,Error
Exception_Saving,Couldn't save file
Exception_LoadFailed,Couldn't load file
Exception_Sync,Couldn't sync the calendar
Exception_InvalidInput,Invalid input
Exception_EmptyName,Invalid input;Name cannot be empty.
Exception_EmptyAddress,Invalid input;Address cannot be empty.
